Date,Temperature (°C),Dew Point (°C),Humidity (%),Wind Speed (km/h),Pressure (hPa),Precipitation (mm)
2018-3-1,6.4,0.9,70.4,10.4,1004.5,0.0
2018-3-2,9.3,5.5,78.2,10.7,999.7,0.0
2018-3-3,15.2,10.5,74.4,21.8,993.8,0.0
2018-3-4,15.8,12.1,79.4,18.4,992.9,0.0
2018-3-5,14.4,10.2,77.6,8.3,992.3,0.0
2018-3-6,15.7,11.9,78.3,18.1,993.6,0.0
2018-3-7,16.0,10.4,70.5,16.5,995.6,0.0
2018-3-8,15.6,8.8,64.6,15.5,993.7,0.0
2018-3-9,12.9,7.5,70.5,12.9,1000.9,0.0
2018-3-10,13.0,7.6,71.9,10.6,1002.8,0.0
2018-3-11,11.8,6.2,72.8,7.8,1003.0,0.0
2018-3-12,13.0,9.3,78.9,10.1,1001.9,0.0
2018-3-13,13.9,10.2,79.4,16.2,996.7,0.0
2018-3-14,13.0,8.3,75.1,11.2,997.7,0.0
2018-3-15,11.4,8.4,82.8,9.1,998.4,0.0
2018-3-16,10.0,6.9,83.0,8.4,1001.9,0.0
2018-3-17,14.4,9.1,72.3,12.4,1000.4,0.0
2018-3-18,16.5,8.0,57.6,17.6,993.8,0.0
2018-3-19,15.0,7.9,64.0,15.4,993.9,0.0
2018-3-20,14.1,8.0,68.9,13.2,996.0,0.0
2018-3-21,12.7,7.6,73.2,13.0,1003.5,0.0
2018-3-22,16.3,6.8,57.7,11.6,994.7,0.0
2018-3-23,16.4,8.5,61.1,20.8,987.0,0.0
2018-3-24,11.8,7.8,77.2,14.5,989.7,0.0
2018-3-25,11.9,8.2,79.9,17.8,1000.0,0.0
2018-3-26,14.7,6.8,60.7,20.1,1000.4,0.0
2018-3-27,14.6,10.1,75.7,15.7,999.6,0.0
2018-3-28,14.2,9.8,76.5,13.8,994.8,0.0
2018-3-29,10.2,5.9,75.3,23.9,995.1,0.0
2018-3-30,10.4,4.3,69.4,8.1,1005.6,0.0
2018-3-31,12.7,6.5,69.7,7.3,1005.7,0.0
2018-4-1,15.6,8.8,67.0,18.9,998.2,0.0
2018-4-2,14.6,7.6,65.3,15.4,1000.0,0.0
2018-4-3,15.0,4.3,54.0,18.0,1007.0,0.0
2018-4-4,14.2,4.8,56.6,11.0,1006.1,0.0
2018-4-5,15.2,7.3,62.9,6.6,1000.6,0.0
2018-4-6,15.2,9.0,68.9,8.6,995.8,0.0
2018-4-7,14.6,10.2,75.9,12.7,997.4,0.0
2018-4-8,13.4,9.3,77.3,12.9,999.4,0.0
2018-4-9,14.5,9.6,74.3,10.2,1000.7,0.0
2018-4-10,15.3,10.7,76.7,9.0,999.9,0.0
2018-4-11,16.1,12.8,81.5,5.5,998.4,0.0
2018-4-12,18.1,11.4,70.0,6.9,998.7,0.0
2018-4-13,18.3,8.8,58.5,7.4,1000.4,0.0
2018-4-14,19.1,11.5,63.8,13.0,1002.7,0.0
2018-4-15,19.6,11.2,60.9,16.6,1003.1,0.0
2018-4-16,20.5,10.8,56.6,9.7,1001.2,0.0
2018-4-17,19.4,11.5,63.1,9.8,1002.1,0.0
2018-4-18,18.0,12.7,73.3,10.5,1005.1,0.0
