Date,Temperature (°C),Dew Point (°C),Humidity (%),Wind Speed (km/h),Pressure (hPa),Precipitation (mm)
2023-1-1,8.8,4.8,79.1,9.3,1013.3,0.0
2023-1-2,7.0,2.6,76.4,7.4,1013.4,0.0
2023-1-3,6.0,1.5,76.5,5.3,1011.4,0.0
2023-1-4,6.1,1.3,73.9,11.1,1008.2,0.0
2023-1-5,8.0,4.4,79.0,11.2,1004.9,0.0
2023-1-6,7.1,4.5,85.2,6.7,1005.1,0.0
2023-1-7,7.4,1.8,71.7,11.8,1006.3,0.0
2023-1-8,5.8,0.3,70.6,9.8,1004.3,0.0
2023-1-9,5.5,0.4,72.8,5.2,1004.7,0.0
2023-1-10,10.6,7.2,80.8,23.3,999.5,0.0
2023-1-11,10.1,8.9,92.5,15.8,996.7,0.0
2023-1-12,8.3,6.0,87.4,5.7,999.3,0.0
2023-1-13,9.1,6.5,85.4,8.9,999.6,0.0
2023-1-14,8.5,6.0,86.0,5.8,1001.1,0.0
2023-1-15,7.7,5.4,87.0,6.7,1001.7,0.0
2023-1-16,7.6,5.5,87.3,6.8,1000.3,0.0
2023-1-17,12.6,9.4,81.8,21.9,999.6,0.0
2023-1-18,15.4,9.9,69.9,28.4,1001.8,0.0
2023-1-19,14.9,8.6,66.4,22.5,1003.6,0.0
2023-1-20,12.8,8.8,78.3,20.0,998.2,0.0
2023-1-21,11.0,8.4,85.3,11.5,1001.6,0.0
2023-1-22,11.1,8.4,85.1,6.1,1005.0,0.0
2023-1-23,10.2,6.6,81.6,4.0,1007.1,0.0
2023-1-24,9.0,6.0,82.8,11.9,1008.2,0.0
2023-1-25,8.0,3.8,75.8,13.2,1006.9,0.0
2023-1-26,8.8,5.5,81.0,8.8,999.2,0.0
2023-1-27,9.2,7.7,91.4,15.6,991.5,0.0
2023-1-28,8.4,7.5,94.0,6.7,995.0,0.0
2023-1-29,6.0,3.8,87.7,8.3,999.8,0.0
2023-1-30,5.0,-0.1,70.6,16.3,998.0,0.0
2023-1-31,4.8,-1.0,68.7,13.9,995.4,0.0
2023-2-1,5.1,-2.9,57.9,22.4,1000.8,0.0
2023-2-2,3.5,-1.5,72.6,7.0,1005.0,0.0
2023-2-3,4.1,2.0,86.2,12.0,1004.4,0.0
2023-2-4,2.3,0.0,85.9,7.6,1000.2,0.0
2023-2-5,4.5,0.6,78.0,25.3,991.9,0.0
2023-2-6,2.5,-4.3,61.4,40.1,998.7,0.0
2023-2-7,2.6,-4.6,60.0,37.8,1007.9,0.0
2023-2-8,2.3,-5.9,55.6,32.2,1013.4,0.0
2023-2-9,4.0,-4.4,56.4,21.9,1014.1,0.0
